lake,period,year,date,abundance,Bos.and.Eubos,all.ceriodaphnia,all.chydorus,all.alona,D.longiremis,D.thorata,D.longispina.hyal.micr,D.pulex,D.midderdorffiana,D.gal.mendote,D.gal.gal,D.ambigua,D.retrocurva,D.rosea,D.schoedleri,Daphnia.magna,H.gibberum,L.kindii,P.pediculus,Diaphanosoma,C.scutifer,cyclops.sp,S.calanoides,H.septentrionalis,E.nevadensis,Diacyclops.thomasi,all.diaptomus
Adams,historical,1940,15/07/1940,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Adams,historical,1986,unknown,no,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Adams,contemporary,2011,28/07/2011,yes,4.06,0,0.13,0,7.722513089,0,0,8.507853403,0,0,0,0,0,0,0,0,0,0.261780105,0,0.39,0,0,0,0,0,28.79581152,50.13
Alleyne,historical,1951,01/08/1951,yes,0.5,0.5,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0
Alleyne,contemporary,2011,29/07/2011,yes,38.99,3.41,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.08,0
Beaver,historical,1939,15/07/1929,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Beaver,contemporary,2011,09/07/2011,yes,1.97,0.18,0,0,0,0,8.602150538,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,27.42
Becker,historical,1957,15/07/1957,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Becker,contemporary,2011,08/07/2011,yes,1.31,83.91,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,10.01642036,0
Braeburn,historical,1970,28/07/1970,yes,18,0,0,0,28.1,0,0,0,0.1,9.6,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,3.2
Braeburn,contemporary,2011,14/07/2011,yes,0,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,5.55,0,0,64.24
Cobb,historical,1958,01/08/1958,yes,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0.01,0,3,0,0,0,0,0,18,33
Cobb,contemporary,2011,10/07/2011,yes,0.14,0,6.63,0,0,0,0,0,0,0,0,0,5.077574048,0,0,0,0,0,0,0,0,0,0,0,0,44.99294781,25.11
Corbett,historical,1967,15/07/1967,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Corbett,contemporary,2011,29/07/2011,yes,0.27,0.14,0.14,0,0,0,0,62.97814208,0,0,0,0,0,0,0,0,0,0,0.409836066,0.41,0,0,0,0,0,28.68852459,6.97
Dease,historical,1947,15/07/1947,no,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dease,contemporary,2011,11/07/2011,yes,1.31,0.26,0,0,0,0,0,0.131061599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88728702,76.41
Dezadeash,historical,1975,26/07/1975,yes,14.2,0,1.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,47.4,0.1,0,1.7,0,0,36.2
Dezadeash,historical,1970,08/11/1970,yes,2.2,0,0,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,23.6
Dezadeash,contemporary,2011,13/07/2011,yes,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,66.9,0,0,0,0,0,27.62
Fox,historical,1975,01/09/1975,yes,1.8,0,0,0,0.3,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,73.95,0,0,0,0,0,20.5
Fox,historical,1975,01/08/1975,yes,0.65,0,0,0,0.15,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,67.05,0,0,0,0,0,27.55
Fox,historical,1975,22/06/1975,yes,0.1,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,0.05,0,0,0,0,45
Fox,contemporary,2011,17/07/2011,yes,1.31,0,0,0,0.52,0,3.81,0,3.81,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,57.22
Frenchman,historical,1975,21/08/1975,yes,0,0,0,0,1.2,0,0,0,1.45,0,9.1,0,0,0,0,0,0,0,0,0,77.6,0,0,0.1,0,0,10.65
Frenchman,contemporary,2011,17/07/2011,yes,0.17,0,0,0,0.94,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,52.14,0,0,0,0,0,46.5
Harrison,historical,1925,15/07/1925,no,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Harrison,historical,1999,uknown,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Harrison,contemporary,2011,29/07/2011,yes,3.66,0,0,0,0,0,0,2.872062663,0,0,0,0,0,0,0,0,0.783289817,0,0,0,0,0,0,0,0,11.74934726,80.42
Heffley,historical,1950,01/08/1950,yes,0,0.2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0.2,86.6,4
Heffley,contemporary,2011,27/07/2011,yes,0,0,0,0,2.88,2.72,0,31.25,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,2.08,60.74
Hicks,historical,1925,15/07/1925,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hicks,contemporary,2011,04/07/2011,yes,28.22,0,0,0,0,0,0,17.82178218,0,0,0,0,0,0,0,0,53.13531353,0,0,0,0,0,0,0,0,0.825082508,0
Kalamalka,historical,1974,01/08/1974,yes,1.3,0,0,0,6.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,1,0,0,0,59.3,32.3
Kalamalka,historical,1951,01/08/1951,yes,1,0,0,0,15,3,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,20,57.5
Kalamalka,historical,1998,unknown,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Kathlyn,historical,1958,01/08/1958,yes,0,0,0,0,5,10.9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,63,4
Kathlyn,contemporary,2011,10/07/2011,yes,0,0,0,0,3.32,31.64,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,33.57,2.97
Kawkawa,historical,1940,17/07/1940,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kawkawa,contemporary,2011,29/07/2011,yes,9.2,0,0.17,0.17,0,0,0,22.74247492,0,0,0,0,0,0,0,0,0.16722408,0,0,0,0,0,0,0,1.839464883,51.17056856,0.33
Kentucky,historical,1951,01/08/1951,yes,0,0.01,2,0,33,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,44.9,11.1
Kentucky,contemporary,2011,29/07/2011,yes,33.33,20.26,0,0,4.17,0.14,0,5.747126437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,5.75
Kluane,historical,1975,11/07/1975,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.15,0,0,0,0,0,60.8
Kluane,historical,1970,12/08/1970,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,34
Kluane,contemporary,2011,18/07/2011,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.87,2.66,2.66,0,0,0,53.46
Lakelse,historical,1975,01/08/1975,yes,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0.32,43.97,12.6
Lakelse,historical,1961,01/07/1961,yes,16,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,84,0
Lakelse,contemporary,2011,21/07/2011,yes,2.54,0,0,0,0,0,0,0,0,0,0,18.03,0,0,0,0,0,0,0,0.42,25.77,0,0,0,5.49,47.04,0.56
Little.Atlin,historical,1970,30/07/1970,yes,2.9,0,0,0,10.8,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,63.8,0,0,0.1,0,0,20.1
Little.Atlin,contemporary,2011,19/07/2011,yes,1.46,0,0,0,35.61,0,0.33,0,0,0,45.2,0,0,0,0,0,0,0,0,0,7.97,0,0,0,0,0,9.43
Little.Salmon,historical,1975,22/08/1975,yes,0.1,0,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,98.7,0,0,0,0,0,1.1
Little.Salmon,contemporary,2011,15/07/2011,yes,0,0,0,0,0.097087379,0,0,0,0,0,0.388349515,0,0,0,0,0,0,0,0,0,49.41747573,0,0,0,0,0,50.1
Maxan,historical,1961,01/07/1961,yes,0,0,0,0,16.2,0,0,0.4,0,6,0,0,0,0,0,0,0,1.8,0,0,50,0,0,0,0.4,0,25.2
Maxan,contemporary,2011,23/07/2011,yes,0,0,0,0,0.45,0,0,0.75,0,10.34,0,0,0,0,0,0,0,0,0,0,14.54,0,0,0,0.9,0,72.71
McConnel,historical,1950,01/08/1950,yes,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
McConnel,contemporary,2011,28/07/2011,yes,0.12,0,0,0,0,0,0,46.37002342,0,0,0,0,0,0,0,0,0,0,9.48,0,0,0,0,0,0.12,35.25,8.55
Meziadin,historical,1975,01/08/1975,yes,1.2,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,47.75,0,0,0,0,1.2,2.33
Meziadin,historical,1974,01/07/1974,yes,0,0,0,0,0,0,53.9,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,1.6
Meziadin,historical,1978,unknown,no,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Meziadin,contemporary,2011,11/07/2011,yes,31.18,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,63.47,0.37
Minto,historical,1975,05/09/1975,yes,0.3,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0.06,0,0,66.6,0,0,0,0,0,26.85
Minto,historical,1970,21/07/1970,yes,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0.1,0,0,59.9,0,0,0,0,0,21.1
Minto,contemporary,2011,16/07/2011,yes,1.42,0,0,0,0,0,0,0,0,26.14,0,0,0,0,0,0,0,0,0,0,59.8,0,0,0,0,0,12.64
Ness,historical,1952,01/08/1952,yes,0.3,0,0,0,6,0,0,5,0,16.1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0.6,0,0
Ness,contemporary,2011,09/07/2011,yes,31.34,0.18,0,0,38.41,0,0,1.63,0,3.08,0,0,0,0,0,0,0,0,0,0,22.28,0,0,0,0.91,0,2.17
Nicola,historical,1966,15/07/1966,no,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
Nicola,contemporary,2011,28/07/2011,yes,0,0,0,0,0,30.22900763,0,0,0,0,0,0,0,0,0,0,0,0.610687023,0,13.59,0,0,0,0,0,0,55.57
Paul,historical,1950,01/08/1950,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,44
Paul,contemporary,2011,27/07/2011,yes,9.5,0,0,0,5.31,0,0,36.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.76,1.68
Pemberton,historical,1950,01/08/1950,yes,8,36,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,20
Pemberton,contemporary,2011,26/07/2011,yes,0,1.03,0,0,0,0,0,19.12144703,0,0,0,0,0,6.33,0,0,0,0,0,0,0,8.14,0,0,0,1.16,6.72
Pillar,historical,1948,01/08/1948,yes,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24
Pillar,contemporary,2011,11/07/2011,yes,0,0,0,0,0,0,0,50.41050903,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0.16,1.81,26.6
Pinantin,historical,1950,01/08/1950,yes,3,45.5,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
Pinantin,contemporary,2011,26/07/2011,yes,0,48.7,0,0,0,0,20.9,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1
Pine,historical,1975,31/08/1975,yes,0.6,0,0,0,0.2,0,0.85,0,4.25,0,0,0,0,0,0,0,0,0,0.05,0,76.7,0.2,0.2,0,0,0,17.45
Pine,contemporary,2011,18/07/2011,yes,4.02,0,0,0,1.49,0,5.66,0,3.28,0,0,0,0,0,0,0,0,0,0.15,0,54.69,1.04,0.89,0,0,0,29.66
Quiet,historical,1970,02/08/1970,yes,0,0,0,0,22.3,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,0,0,0,0,0,34.9
Quiet,contemporary,2011,19/07/2011,yes,3.58,0,0,0,25.89,0,25.89,0,0,0,0,0,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,19.17
Seymour,historical,1958,01/08/1958,yes,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,2
Seymour,contemporary,2011,22/07/2011,yes,0,0.41,0,0,0,8.967391304,0,0,0,42.93,0,0,0,0,0,0,0,0,0,0,23.37,0,0,0,0,0,5.43
Shuswap,contemporary,2011,28/07/2011,yes,1.27,0,0,0,0,0,9.423347398,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,25.32,0,0,2.672292546,0,60.76
Shuswap,historical,1957,15/07/1957,no,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
Sullivan,historical,1950,01/08/1950,yes,0,0.01,1,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,83
Sullivan,contemporary,2011,28/07/2011,yes,0,1.64,0,0,0,0,0,36.22641509,0,0,0,0,0,24.27672956,0,0,0,0,0,0,0,8.18,0,0,0,4.402515723,25.34
Summit,historical,1963,unknown,no,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
Summit,contemporary,2011,24/07/2011,yes,1.41,0,0,0,0,0,17.63046544,1.551480959,0,0,0,0,0,0,0,0,0.141043724,0,0,0,0,9.03,0,0,0,9.167842031,60.79
Tatchun,historical,1975,21/06/1970,yes,0.7,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,91.3,0,0,0,0,0,7.55
Tatchun,historical,1970,25/07/1975,yes,3.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,1.2
Tatchun,contemporary,2011,07/15/2011,yes,5.56,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0,2.02
Walloper,historical,1950,01/08/1950,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,15,14
Walloper,contemporary,2011,25/07/2011,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.8,0,0,0,0,0,0,0,0,0,0,54.3,0.59
Watson,historical,1970,07/08/1970,yes,5.3,0,0,0,1.2,0,0,0.1,0.1,0,9.9,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0.6
Watson,contemporary,2011,12/07/2011,yes,1.05,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,27.23,0,0,0,0,0,71.07
Wheeler,historical,1975,19/08/1975,yes,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,0,0,0.25,0,0,42.25
Wheeler,contemporary,2011,12/07/2011,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.59090909,0,0,0,0,0,63.41
White,contemporary,2011,07/07/2011,yes,1.72,20.64,0.49,0,0,35.38083538,3.43980344,0,0,0,0,0,0,0,0,0,0,1.71990172,0,3.44,0,0,0,0,0,4.176904177,28.99
White,contemporary,2011,27/07/2011,yes,0.17,12.89,0.17,0,0,0,3.832752613,0,0,0,0,0,0,0,47.56097561,0,0,1.916376307,0,1.39,0,0,0,0,0,0.522648084,30.66
White,historical,1969,15/07/1969,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Wood,historical,1971,01/08/1971,yes,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1.9,0,0,0,0,0,55.6,42.2
Wood,contemporary,2011,05/07/2011,yes,0,0.15,0,0,1.608187135,0,0,0.73,0,13.74,0,0,0,0,0,0,0,0.88,0,1.17,0,0,0,0,0,54.53,27.92
,,,,,,,,,279.5097876,134.4772343,220.7785194,573.3503788,16.22,195.46,67.18834952,18.04,52.07757405,46.60672956,165.3609756,1,,,,,,,,,,,
